,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsReturn,TransactionType,TotalAmount,Year,Month,Day,Hour,Weekday
64,536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00,4.25,17850,United Kingdom,False,Sale,25.5,2010,12,1,9,2
65,536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100,United Kingdom,False,Sale,350.4,2010,12,1,9,2
66,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
67,536375,71053,WHITE METAL LANTERN,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
68,536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:32:00,2.75,17850,United Kingdom,False,Sale,22.0,2010,12,1,9,2
69,536375,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:32:00,4.95,17850,United Kingdom,False,Sale,29.700000000000003,2010,12,1,9,2
70,536375,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
71,536375,21871,SAVE THE PLANET MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
72,536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
73,536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
74,536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00,4.95,17850,United Kingdom,False,Sale,9.9,2010,12,1,9,2
75,536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00,6.95,17850,United Kingdom,False,Sale,27.8,2010,12,1,9,2
76,536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00,2.1,17850,United Kingdom,False,Sale,12.6,2010,12,1,9,2
77,536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
78,536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
79,536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
80,536375,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:32:00,7.65,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
81,536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:32:00,4.25,17850,United Kingdom,False,Sale,25.5,2010,12,1,9,2
82,536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00,3.45,15291,United Kingdom,False,Sale,165.60000000000002,2010,12,1,9,2
83,536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00,2.55,15291,United Kingdom,False,Sale,163.2,2010,12,1,9,2
84,536377,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,9,2
85,536377,22633,HAND WARMER UNION JACK,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,9,2
86,536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,False,Sale,19.5,2010,12,1,9,2
87,536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,False,Sale,19.5,2010,12,1,9,2
88,536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00,2.95,14688,United Kingdom,False,Sale,29.5,2010,12,1,9,2
89,536378,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,0.85,14688,United Kingdom,False,Sale,8.5,2010,12,1,9,2
90,536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-12-01 09:37:00,3.75,14688,United Kingdom,False,Sale,45.0,2010,12,1,9,2
91,536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-01 09:37:00,3.75,14688,United Kingdom,False,Sale,22.5,2010,12,1,9,2
92,536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00,0.85,14688,United Kingdom,False,Sale,10.2,2010,12,1,9,2
93,536378,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,1.65,14688,United Kingdom,False,Sale,16.5,2010,12,1,9,2
94,536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,False,Sale,15.3,2010,12,1,9,2
95,536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,False,Sale,15.3,2010,12,1,9,2
96,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,0.42,14688,United Kingdom,False,Sale,50.4,2010,12,1,9,2
97,536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,False,Sale,13.2,2010,12,1,9,2
98,536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,False,Sale,13.2,2010,12,1,9,2
99,536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,False,Sale,13.2,2010,12,1,9,2
100,536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,2.95,14688,United Kingdom,False,Sale,17.700000000000003,2010,12,1,9,2
101,536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,2010-12-01 09:37:00,1.25,14688,United Kingdom,False,Sale,60.0,2010,12,1,9,2
102,536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2010-12-01 09:37:00,0.38,14688,United Kingdom,False,Sale,36.48,2010,12,1,9,2
103,536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,False,Sale,19.5,2010,12,1,9,2
104,536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,False,Sale,19.5,2010,12,1,9,2
105,536380,22961,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,1.45,17809,United Kingdom,False,Sale,34.8,2010,12,1,9,2
106,536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,2010-12-01 09:41:00,4.25,15311,United Kingdom,False,Sale,97.75,2010,12,1,9,2
107,536381,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,15311,United Kingdom,False,Sale,24.75,2010,12,1,9,2
108,536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,1.95,15311,United Kingdom,False,Sale,19.5,2010,12,1,9,2
109,536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,2010-12-01 09:41:00,2.1,15311,United Kingdom,False,Sale,4.2,2010,12,1,9,2
110,536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2010-12-01 09:41:00,1.25,15311,United Kingdom,False,Sale,7.5,2010,12,1,9,2
111,536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,1.25,15311,United Kingdom,False,Sale,30.0,2010,12,1,9,2
112,536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,1.25,15311,United Kingdom,False,Sale,30.0,2010,12,1,9,2
113,536381,71270,PHOTO CLIP LINE,1,2010-12-01 09:41:00,1.25,15311,United Kingdom,False,Sale,1.25,2010,12,1,9,2
114,536381,22262,FELT EGG COSY CHICKEN,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,False,Sale,0.85,2010,12,1,9,2
115,536381,22637,PIGGY BANK RETROSPOT ,1,2010-12-01 09:41:00,2.55,15311,United Kingdom,False,Sale,2.55,2010,12,1,9,2
116,536381,21934,SKULL SHOULDER BAG,10,2010-12-01 09:41:00,1.65,15311,United Kingdom,False,Sale,16.5,2010,12,1,9,2
117,536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,2010-12-01 09:41:00,1.69,15311,United Kingdom,False,Sale,5.07,2010,12,1,9,2
118,536381,21166,COOK WITH WINE METAL SIGN ,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,False,Sale,1.95,2010,12,1,9,2
119,536381,21175,GIN + TONIC DIET METAL SIGN,2,2010-12-01 09:41:00,2.1,15311,United Kingdom,False,Sale,4.2,2010,12,1,9,2
120,536381,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,2.95,2010,12,1,9,2
121,536381,37444C,PINK BREAKFAST CUP AND SAUCER ,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,2.95,2010,12,1,9,2
122,536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,11.8,2010,12,1,9,2
123,536381,22083,PAPER CHAIN KIT RETROSPOT,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,2.95,2010,12,1,9,2
124,536381,84971S,SMALL HEART FLOWERS HOOK ,6,2010-12-01 09:41:00,0.85,15311,United Kingdom,False,Sale,5.1,2010,12,1,9,2
125,536381,71270,PHOTO CLIP LINE,3,2010-12-01 09:41:00,1.25,15311,United Kingdom,False,Sale,3.75,2010,12,1,9,2
126,536381,47580,TEA TIME DES TEA COSY,2,2010-12-01 09:41:00,2.55,15311,United Kingdom,False,Sale,5.1,2010,12,1,9,2
127,536381,22261,FELT EGG COSY WHITE RABBIT ,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,False,Sale,0.85,2010,12,1,9,2
128,536381,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,False,Sale,0.85,2010,12,1,9,2
129,536381,22644,CERAMIC CHERRY CAKE MONEY BANK,1,2010-12-01 09:41:00,1.45,15311,United Kingdom,False,Sale,1.45,2010,12,1,9,2
130,536381,21533,RETROSPOT LARGE MILK JUG,1,2010-12-01 09:41:00,4.95,15311,United Kingdom,False,Sale,4.95,2010,12,1,9,2
131,536381,21557,SET OF 6 FUNKY BEAKERS,2,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,5.9,2010,12,1,9,2
132,536381,15056BL,EDWARDIAN PARASOL BLACK,2,2010-12-01 09:41:00,5.95,15311,United Kingdom,False,Sale,11.9,2010,12,1,9,2
133,536381,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-01 09:41:00,5.95,15311,United Kingdom,False,Sale,11.9,2010,12,1,9,2
134,536381,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-01 09:41:00,1.45,15311,United Kingdom,False,Sale,5.8,2010,12,1,9,2
135,536381,22176,BLUE OWL SOFT TOY,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,False,Sale,2.95,2010,12,1,9,2
136,536381,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,False,Sale,1.95,2010,12,1,9,2
137,536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,1.65,15311,United Kingdom,False,Sale,3.3,2010,12,1,9,2
138,536381,22778,GLASS CLOCHE SMALL,3,2010-12-01 09:41:00,3.95,15311,United Kingdom,False,Sale,11.85,2010,12,1,9,2
139,536381,22719,GUMBALL MONOCHROME COAT RACK,36,2010-12-01 09:41:00,1.06,15311,United Kingdom,False,Sale,38.16,2010,12,1,9,2
140,536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-12-01 09:41:00,6.75,15311,United Kingdom,False,Sale,67.5,2010,12,1,9,2
141,C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527,United Kingdom,True,Return,-27.5,2010,12,1,9,2
142,536382,10002,INFLATABLE POLITICAL GLOBE ,12,2010-12-01 09:45:00,0.85,16098,United Kingdom,False,Sale,10.2,2010,12,1,9,2
143,536382,21912,VINTAGE SNAKES & LADDERS,8,2010-12-01 09:45:00,3.75,16098,United Kingdom,False,Sale,30.0,2010,12,1,9,2
144,536382,21832,CHOCOLATE CALCULATOR,12,2010-12-01 09:45:00,1.65,16098,United Kingdom,False,Sale,19.8,2010,12,1,9,2
145,536382,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:45:00,1.95,16098,United Kingdom,False,Sale,19.5,2010,12,1,9,2
146,536382,22379,RECYCLING BAG RETROSPOT ,10,2010-12-01 09:45:00,2.1,16098,United Kingdom,False,Sale,21.0,2010,12,1,9,2
147,536382,22381,TOY TIDY PINK POLKADOT,50,2010-12-01 09:45:00,1.85,16098,United Kingdom,False,Sale,92.5,2010,12,1,9,2
148,536382,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-01 09:45:00,2.95,16098,United Kingdom,False,Sale,23.6,2010,12,1,9,2
149,536382,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 09:45:00,3.75,16098,United Kingdom,False,Sale,15.0,2010,12,1,9,2
150,536382,22926,IVORY GIANT GARDEN THERMOMETER,12,2010-12-01 09:45:00,5.95,16098,United Kingdom,False,Sale,71.4,2010,12,1,9,2
151,536382,22839,3 TIER CAKE TIN GREEN AND CREAM,2,2010-12-01 09:45:00,14.95,16098,United Kingdom,False,Sale,29.9,2010,12,1,9,2
152,536382,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-01 09:45:00,14.95,16098,United Kingdom,False,Sale,29.9,2010,12,1,9,2
153,536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-12-01 09:45:00,16.95,16098,United Kingdom,False,Sale,67.8,2010,12,1,9,2
154,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311,United Kingdom,True,Return,-4.65,2010,12,1,9,2
155,536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-01 09:53:00,6.45,18074,United Kingdom,False,Sale,19.35,2010,12,1,9,2
156,536384,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,2010-12-01 09:53:00,0.65,18074,United Kingdom,False,Sale,31.200000000000003,2010,12,1,9,2
157,536384,22464,HANGING METAL HEART LANTERN,12,2010-12-01 09:53:00,1.65,18074,United Kingdom,False,Sale,19.8,2010,12,1,9,2
158,536384,21324,HANGING MEDINA LANTERN SMALL,6,2010-12-01 09:53:00,2.95,18074,United Kingdom,False,Sale,17.700000000000003,2010,12,1,9,2
159,536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,2010-12-01 09:53:00,2.95,18074,United Kingdom,False,Sale,35.400000000000006,2010,12,1,9,2
160,536384,22469,HEART OF WICKER SMALL,40,2010-12-01 09:53:00,1.45,18074,United Kingdom,False,Sale,58.0,2010,12,1,9,2
161,536384,22470,HEART OF WICKER LARGE,40,2010-12-01 09:53:00,2.55,18074,United Kingdom,False,Sale,102.0,2010,12,1,9,2
162,536384,22224,WHITE LOVEBIRD LANTERN,6,2010-12-01 09:53:00,2.95,18074,United Kingdom,False,Sale,17.700000000000003,2010,12,1,9,2
163,536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2010-12-01 09:53:00,12.75,18074,United Kingdom,False,Sale,25.5,2010,12,1,9,2
164,536384,22189,CREAM HEART CARD HOLDER,4,2010-12-01 09:53:00,3.95,18074,United Kingdom,False,Sale,15.8,2010,12,1,9,2
165,536384,22427,ENAMEL FLOWER JUG CREAM,3,2010-12-01 09:53:00,5.95,18074,United Kingdom,False,Sale,17.85,2010,12,1,9,2
166,536384,22428,ENAMEL FIRE BUCKET CREAM,6,2010-12-01 09:53:00,6.95,18074,United Kingdom,False,Sale,41.7,2010,12,1,9,2
167,536384,22424,ENAMEL BREAD BIN CREAM,8,2010-12-01 09:53:00,10.95,18074,United Kingdom,False,Sale,87.6,2010,12,1,9,2
168,536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 09:56:00,19.95,17420,United Kingdom,False,Sale,19.95,2010,12,1,9,2
169,536385,22961,JAM MAKING SET PRINTED,12,2010-12-01 09:56:00,1.45,17420,United Kingdom,False,Sale,17.4,2010,12,1,9,2
170,536385,22960,JAM MAKING SET WITH JARS,6,2010-12-01 09:56:00,4.25,17420,United Kingdom,False,Sale,25.5,2010,12,1,9,2
171,536385,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,1.95,17420,United Kingdom,False,Sale,19.5,2010,12,1,9,2
172,536385,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-01 09:56:00,1.25,17420,United Kingdom,False,Sale,15.0,2010,12,1,9,2
173,536385,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2010-12-01 09:56:00,8.5,17420,United Kingdom,False,Sale,17.0,2010,12,1,9,2
174,536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,1.65,17420,United Kingdom,False,Sale,16.5,2010,12,1,9,2
175,536386,84880,WHITE WIRE EGG HOLDER,36,2010-12-01 09:57:00,4.95,16029,United Kingdom,False,Sale,178.20000000000002,2010,12,1,9,2
